name,country,birth_date,discipline,age,gender,height_in_m,height_in_feet,birth_place,birth_country,residence_place,residence_country,event_name,event_rank,event_medal
ABDULLAYEV Mahammad,Azerbaijan,6 Apr 1999,Boxing,22,Male,NA,NA,,,BAKU,Azerbaijan,Men's Super Heavy (+91kg),9,NA
ABDULLIN Ilfat,Kazakhstan,9 Jan 1998,Archery,23,Male,NA,NA,TALDYKORGAN,Kazakhstan,TALDYKORGAN,Kazakhstan,Men's Individual,9,NA
ABDULLIN Ilfat,Kazakhstan,9 Jan 1998,Archery,23,Male,NA,NA,TALDYKORGAN,Kazakhstan,TALDYKORGAN,Kazakhstan,Men's Team,9,NA
ABDULREDHA Mohamed,Bahrain,27 Sep 1989,Handball,31,Male,1.83,6'0'',,Bahrain,,,Men,8,NA
ABDURAIMOV Elnur,Uzbekistan,10 Jun 1994,Boxing,27,Male,NA,NA,CHIRCHIQ,Uzbekistan,UNITED STATES OF AMERICA,,Men's Light (57-63kg),5,NA
ABDURAKHIMOV Rasuljon,Uzbekistan,3 Oct 1996,Artistic Gymnastics,24,Male,1.64,5'4'',FERGANA,Uzbekistan,TASHKENT,Uzbekistan,Men's All-Around,,NA
ABDURAKHIMOV Rasuljon,Uzbekistan,3 Oct 1996,Artistic Gymnastics,24,Male,1.64,5'4'',FERGANA,Uzbekistan,TASHKENT,Uzbekistan,Men's Floor Exercise,,NA
ABDURAKHIMOV Rasuljon,Uzbekistan,3 Oct 1996,Artistic Gymnastics,24,Male,1.64,5'4'',FERGANA,Uzbekistan,TASHKENT,Uzbekistan,Men's Pommel Horse,,NA
ABDURAKHIMOV Rasuljon,Uzbekistan,3 Oct 1996,Artistic Gymnastics,24,Male,1.64,5'4'',FERGANA,Uzbekistan,TASHKENT,Uzbekistan,Men's Rings,,NA
ABDURAKHIMOV Rasuljon,Uzbekistan,3 Oct 1996,Artistic Gymnastics,24,Male,1.64,5'4'',FERGANA,Uzbekistan,TASHKENT,Uzbekistan,Men's Vault,,NA
ABDURAKHIMOV Rasuljon,Uzbekistan,3 Oct 1996,Artistic Gymnastics,24,Male,1.64,5'4'',FERGANA,Uzbekistan,TASHKENT,Uzbekistan,Men's Parallel Bars,,NA
ABDURAKHIMOV Rasuljon,Uzbekistan,3 Oct 1996,Artistic Gymnastics,24,Male,1.64,5'4'',FERGANA,Uzbekistan,TASHKENT,Uzbekistan,Men's Horizontal Bar,,NA
ABDURAKHMONOV Bekzod,Uzbekistan,15 Mar 1990,Wrestling,31,Male,NA,NA,TASHKENT,Uzbekistan,"BOSTON, MA",United States of America,Men's Freestyle 74kg,3,Bronze
ABE Hifumi,Japan,9 Aug 1997,Judo,23,Male,NA,NA,KOBE,Japan,,,Men -66 kg,1,Gold
ABE Hifumi,Japan,9 Aug 1997,Judo,23,Male,NA,NA,KOBE,Japan,,,Mixed Team,2,Silver
ABE Takatoshi,Japan,12 Nov 1991,Athletics,29,Male,NA,NA,OKAYAMA,Japan,TOKYO,Japan,Men's 400m Hurdles,,NA
ABE Uta,Japan,14 Jul 2000,Judo,21,Female,NA,NA,KOBE,Japan,,,Women -52 kg,1,Gold
ABE Uta,Japan,14 Jul 2000,Judo,21,Female,NA,NA,KOBE,Japan,,,Mixed Team,2,Silver
ABEBE Mekides,Ethiopia,29 Jan 2001,Athletics,20,Female,NA,NA,,,,,Women's 3000m Steeplechase,4,NA
ABEDINI Mojtaba,Islamic Republic of Iran,11 Aug 1984,Fencing,36,Male,NA,NA,TEHRAN,Islamic Republic of Iran,,,Men's Sabre Individual,11,NA
ABEDINI Mojtaba,Islamic Republic of Iran,11 Aug 1984,Fencing,36,Male,NA,NA,TEHRAN,Islamic Republic of Iran,,,Men's Sabre Team,6,NA
ABEL Jennifer,Canada,23 Aug 1991,Diving,29,Female,1.60,5'2'',"MONTREAL, QC",Canada,"MONTREAL, QC",Canada,Women's 3m Springboard,8,NA
ABEL Jennifer,Canada,23 Aug 1991,Diving,29,Female,1.60,5'2'',"MONTREAL, QC",Canada,"MONTREAL, QC",Canada,Women's Synchronised 3m Springboard,2,Silver
ABELA Matthew,Malta,18 Mar 1999,Badminton,22,Male,NA,NA,PIETA,Malta,DENMARK,,Men's Singles,15,NA
ABELVIK ROED Magnus,Norway,7 Jul 1997,Handball,24,Male,2.04,6'8'',OSLO,Norway,FLENSBURG,Germany,Men,7,NA
ABEYSINGHE Matthew,Sri Lanka,19 Mar 1996,Swimming,25,Male,NA,NA,,United States of America,UNITED STATES OF AMERICA,,Men's 100m Freestyle,,NA
ABIAN Pablo,Spain,12 Jun 1985,Badminton,36,Male,1.78,5'10'',CALATAYUD,Spain,MADRID,Spain,Men's Singles,15,NA
ABICHA Mohammed,Morocco,16 Jan 1980,Beach Volleyball,41,Male,1.93,6'3'',FEZ,Morocco,FEZ,Morocco,Men,19,NA
ABICHT Lorena,Austria,12 Jul 1994,Sailing,27,Female,1.75,5'8'',,,,,Women's Skiff - 49er FX,17,NA
ABIDINE Abidine,Mauritania,31 Mar 1993,Athletics,28,Male,NA,NA,,,,,Men's 5000m,,NA
ABLIAZIN Denis,ROC,3 Aug 1992,Artistic Gymnastics,29,Male,1.60,5'2'',PENZA,Russian Federation,PENZA,Russian Federation,Men's All-Around,,NA
ABLIAZIN Denis,ROC,3 Aug 1992,Artistic Gymnastics,29,Male,1.60,5'2'',PENZA,Russian Federation,PENZA,Russian Federation,Men's Floor Exercise,,NA
ABLIAZIN Denis,ROC,3 Aug 1992,Artistic Gymnastics,29,Male,1.60,5'2'',PENZA,Russian Federation,PENZA,Russian Federation,Men's Pommel Horse,,NA
ABLIAZIN Denis,ROC,3 Aug 1992,Artistic Gymnastics,29,Male,1.60,5'2'',PENZA,Russian Federation,PENZA,Russian Federation,Men's Rings,6,NA
ABLIAZIN Denis,ROC,3 Aug 1992,Artistic Gymnastics,29,Male,1.60,5'2'',PENZA,Russian Federation,PENZA,Russian Federation,Men's Vault,2,Silver
ABLIAZIN Denis,ROC,3 Aug 1992,Artistic Gymnastics,29,Male,1.60,5'2'',PENZA,Russian Federation,PENZA,Russian Federation,Men's Parallel Bars,,NA
ABLIAZIN Denis,ROC,3 Aug 1992,Artistic Gymnastics,29,Male,1.60,5'2'',PENZA,Russian Federation,PENZA,Russian Federation,Men's Horizontal Bar,,NA
ABLIAZIN Denis,ROC,3 Aug 1992,Artistic Gymnastics,29,Male,1.60,5'2'',PENZA,Russian Federation,PENZA,Russian Federation,Men's Team,1,Gold
ABNER,Brazil,27 May 2000,Football,21,Male,1.81,5'11'',PRESIDENTE PRUDENTE,Brazil,,,Men,1,Gold
ABOUD Hadel,Libya,21 Oct 1999,Athletics,21,Female,NA,NA,,,,,Women's 100m,,NA
ABOUELKASSEM Alaaeldin,Egypt,25 Nov 1990,Fencing,30,Male,NA,NA,SETIF,Algeria,CAIRO,Egypt,Men's Foil Individual,6,NA
ABOUELKASSEM Alaaeldin,Egypt,25 Nov 1990,Fencing,30,Male,NA,NA,SETIF,Algeria,CAIRO,Egypt,Men's Foil Team,8,NA
