name,country,birth_date,discipline,age,gender,height_in_m,height_in_feet,birth_place,birth_country,residence_place,residence_country,event_name,event_rank,event_medal
MARTYNOVA Maria,Belarus,25 Dec 1997,Shooting,23,Female,1.73,5'8'',MINSK,Belarus,MINSK,Belarus,10m Air Rifle Mixed Team,23,NA
MARTYNYCHEV Kirill,ROC,5 May 2002,Swimming,19,Male,NA,NA,ST. PETERSBURG,Russian Federation,ST. PETERSBURG,Russian Federation,Men's 1500m Freestyle,6,NA
MARUO Satoshi,Japan,28 Nov 1991,Athletics,29,Male,NA,NA,KYOTO,Japan,KYOTO,Japan,Men's 50km Race Walk,32,NA
MARUSAVA Hanna,Belarus,8 Jan 1978,Archery,43,Female,NA,NA,,,,,Women's Individual,9,NA
MARUSAVA Hanna,Belarus,8 Jan 1978,Archery,43,Female,NA,NA,,,,,Women's Team,4,NA
MARX Alena,Switzerland,21 Dec 2000,Canoe Slalom,20,Female,NA,NA,,,,,Women's Canoe,16,NA
MARZALIUK Vasilisa,Belarus,23 Jun 1987,Wrestling,34,Female,NA,NA,LOGOYSK,Belarus,MINSK,Belarus,Women's Freestyle 76kg,9,NA
MARZOUK Habiba,Egypt,14 May 2002,Rhythmic Gymnastics,19,Female,1.53,5'0'',,Egypt,CAIRO,Egypt,Individual All-Around,,NA
MAS DEPARES Silvia,Spain,23 Aug 1996,Sailing,24,Female,1.60,5'2'',BARCELONA,Spain,EL MASNOU,Spain,Women's Two Person Dinghy - 470,11,NA
MAS PUJADAS Meritxell,Spain,25 Dec 1994,Artistic Swimming,26,Female,1.69,5'6'',GRANOLLERS,Spain,SPAIN,,Team,7,NA
MASAI Samwel,Kenya,20 Mar 2001,Athletics,20,Male,NA,NA,,,SETAGAYA,Japan,Men's 5000m,,NA
MASCOLO Anna Chiara,Italy,5 Jun 2001,Swimming,20,Female,NA,NA,FLORENCE,Italy,FLORENCE,Italy,Women's 4 x 200m Freestyle Relay,,NA
MASEI Micah,American Samoa,22 Mar 1999,Swimming,22,Male,NA,NA,"COOS BAY, OR",United States of America,,,Men's 100m Breaststroke,,NA
MASHAYIKH Syaqiera,Malaysia,24 Nov 2000,Archery,20,Female,NA,NA,SEGAMAT,Malaysia,SEGAMAT,Malaysia,Women's Individual,33,NA
MASHAYIKH Syaqiera,Malaysia,24 Nov 2000,Archery,20,Female,NA,NA,SEGAMAT,Malaysia,SEGAMAT,Malaysia,Mixed Team,19,NA
MASHELE Lesiba,South Africa,13 Oct 1990,Athletics,30,Male,NA,NA,,South Africa,JOHANNESBURG,South Africa,Men's 5000m,,NA
MASILINGI Beatrice,Namibia,10 Apr 2003,Athletics,18,Female,NA,NA,KATIMA MULILO,Namibia,GROOTFONTEIN,Namibia,Women's 200m,6,NA
MASKELYNE Ryan,Papua New Guinea,25 Jan 1999,Swimming,22,Male,NA,NA,"GRAFTON, NSW",Australia,,,Men's 200m Breaststroke,,NA
MASKEVICH Kiryl,Belarus,6 Mar 1998,Wrestling,23,Male,NA,NA,,,MINSK,Belarus,Men's Greco-Roman 87kg,15,NA
MASLAK Pavel,Czech Republic,21 Feb 1991,Athletics,30,Male,NA,NA,HAVIROV,Czech Republic,PRAGUE,Czech Republic,Men's 400m,,NA
MASLAK Pavel,Czech Republic,21 Feb 1991,Athletics,30,Male,NA,NA,HAVIROV,Czech Republic,PRAGUE,Czech Republic,Men's 4 x 400m Relay,,NA
MASLAVA Nastassia,Belarus,16 Oct 1997,Athletics,23,Female,NA,NA,DRAHICHYN,Belarus,GRODNO,Belarus,Women's Hammer Throw,,NA
MASLENNIKOV Vladimir,ROC,17 Aug 1994,Shooting,26,Male,1.73,5'8'',LESNOY,Russian Federation,NOYABRSK,Russian Federation,10m Air Rifle Men,8,NA
MASLENNIKOV Vladimir,ROC,17 Aug 1994,Shooting,26,Male,1.73,5'8'',LESNOY,Russian Federation,NOYABRSK,Russian Federation,10m Air Rifle Mixed Team,5,NA
MASLOVA Darya,Kyrgyzstan,6 May 1995,Athletics,26,Female,NA,NA,KARAKOL,Kyrgyzstan,,,Women's Marathon,36,NA
MASO Alaa,Refugee Olympic Team,1 Jan 2000,Swimming,21,Male,NA,NA,,,HANOVER,Germany,Men's 50m Freestyle,,NA
MASO Mohamad,Syrian Arab Republic,23 Jul 1993,Triathlon,28,Male,NA,NA,ALEPPO,Syrian Arab Republic,HANOVER,Germany,Men's Individual,47,NA
MASON Michael,Canada,30 Sep 1986,Athletics,34,Male,NA,NA,"NEW WESTMINSTER, BC",Canada,,,Men's High Jump,,NA
MASSE Kylie,Canada,18 Jan 1996,Swimming,25,Female,NA,NA,"WINDSOR, ON",Canada,"LASALLE, ON",Canada,Women's 100m Backstroke,2,Silver
MASSE Kylie,Canada,18 Jan 1996,Swimming,25,Female,NA,NA,"WINDSOR, ON",Canada,"LASALLE, ON",Canada,Women's 200m Backstroke,2,Silver
MASSE Kylie,Canada,18 Jan 1996,Swimming,25,Female,NA,NA,"WINDSOR, ON",Canada,"LASALLE, ON",Canada,Women's 4 x 100m Medley Relay,3,Bronze
MASSEY Billie,Belgium,21 Mar 2000,Basketball,21,Female,1.86,6'1'',OSTEND,Belgium,BREDENE,Belgium,Women,7,NA
MASSIALAS Alexander,United States of America,20 Apr 1994,Fencing,27,Male,NA,NA,"SAN FRANCISCO, CA",United States of America,"SAN FRANCISCO, CA",United States of America,Men's Foil Individual,18,NA
MASSIALAS Alexander,United States of America,20 Apr 1994,Fencing,27,Male,NA,NA,"SAN FRANCISCO, CA",United States of America,"SAN FRANCISCO, CA",United States of America,Men's Foil Team,3,Bronze
MASSIALAS Sabrina,United States of America,22 Jan 1997,Fencing,24,Female,NA,NA,"SAN FRANCISCO, CA",United States of America,,,Women's Foil Team,4,NA
MASSO Maykel,Cuba,8 May 1999,Athletics,22,Male,NA,NA,SANTIAGO DE CUBA,Cuba,SANTIAGO DE CUBA,Cuba,Men's Long Jump,3,Bronze
MASSON Caroline,Germany,14 May 1989,Golf,32,Female,1.73,5'8'',GLADBECK,Germany,"ORLANDO, FL",United States of America,Women's Individual Stroke Play,40,NA
MASTERS Timothy,Australia,2 Jan 1992,Rowing,29,Male,1.95,6'4'',,,,,Men's Eight,6,NA
MASTIANICA Artur,Lithuania,30 Jul 1992,Athletics,29,Male,NA,NA,PABRADE,Lithuania,VILNIUS,Lithuania,Men's 50km Race Walk,31,NA
MASTROMATTEO Gabe,Canada,27 Apr 2002,Swimming,19,Male,NA,NA,"THUNDER BAY, ON",Canada,,,Men's 100m Breaststroke,,NA
MASTROMATTEO Gabe,Canada,27 Apr 2002,Swimming,19,Male,NA,NA,"THUNDER BAY, ON",Canada,,,Men's 4 x 100m Medley Relay,7,NA
MASTROMATTEO Gabe,Canada,27 Apr 2002,Swimming,19,Male,NA,NA,"THUNDER BAY, ON",Canada,,,Mixed 4 x 100m Medley Relay,,NA
MASUDA Aoi,Japan,20 Jun 1996,Swimming,25,Female,1.67,5'5'',KURASHIKI,Japan,,,Women's 4 x 200m Freestyle Relay,,NA
MASUDA Nariyuki,Japan,23 Oct 1983,Cycling Road,37,Male,1.76,5'9'',SENDAI,Japan,UTSUNOMIYA,Japan,Men's Road Race,84,NA
MASWANGANYI Shaun,South Africa,1 Feb 2001,Athletics,20,Male,NA,NA,JOHANNESBURG,South Africa,"HOUSTON, TX",United States of America,Men's 100m,,NA
MASWANGANYI Shaun,South Africa,1 Feb 2001,Athletics,20,Male,NA,NA,JOHANNESBURG,South Africa,"HOUSTON, TX",United States of America,Men's 200m,,NA
MASWANGANYI Shaun,South Africa,1 Feb 2001,Athletics,20,Male,NA,NA,JOHANNESBURG,South Africa,"HOUSTON, TX",United States of America,Men's 4 x 100m Relay,,NA
MATA Hector,Venezuela,27 Jan 1991,Volleyball,30,Male,1.79,5'10'',,Venezuela,,,Men,12,NA
MATA PEREZ Andres Eduardo,Spain,11 Nov 1992,Weightlifting,28,Male,1.74,5'8'',VALENCIA,Venezuela,MADRID,Spain,Men's 81kg,8,NA
MATADI Emmanuel,Liberia,15 Apr 1991,Athletics,30,Male,NA,NA,,Liberia,"SAINT PAUL, MN",United States of America,Men's 100m,,NA
MATADI Emmanuel,Liberia,15 Apr 1991,Athletics,30,Male,NA,NA,,Liberia,"SAINT PAUL, MN",United States of America,Men's 200m,,NA
MATANGA Failuna,United Republic of Tanzania,28 Oct 1992,Athletics,28,Female,NA,NA,KONDOA,United Republic of Tanzania,ARUSHA,United Republic of Tanzania,Women's Marathon,24,NA
MATELOVA Hana,Czech Republic,8 Jun 1990,Table Tennis,31,Female,1.60,5'2'',ZLIN,Czech Republic,,,Women's Singles,33,NA
MATEO Daniel,Spain,31 Aug 1989,Athletics,31,Male,NA,NA,SORIA,Spain,SORIA,Spain,Men's Marathon,21,NA
MATEU Jaime,Spain,28 Oct 1995,Skateboarding,25,Male,NA,NA,PALMA DE MALLORCA,Spain,TORRELAVEGA,Spain,Men's Park,10,NA
MATEUS Alicia,Mozambique,9 May 2004,Swimming,17,Female,NA,NA,,,,,Women's 50m Freestyle,,NA
MATHERON Vincent,France,15 May 1998,Skateboarding,23,Male,NA,NA,MARSEILLE,France,"ENCINITAS, CA",United States of America,Men's Park,7,NA
MATHEUS HENRIQUE,Brazil,19 Dec 1997,Football,23,Male,1.73,5'8'',SAO PAULO,Brazil,PORTO ALEGRE,Brazil,Men,1,Gold
MATHEWS Alannah,Australia,9 Apr 1999,Rhythmic Gymnastics,22,Female,1.69,5'6'',"PERTH, WA",Australia,,,Group All-Around,,NA
MATIC Barbara,Croatia,3 Dec 1994,Judo,26,Female,NA,NA,SPLIT,Croatia,SPLIT,Croatia,Women -70 kg,5,NA
MATIELI Patricia,Brazil,8 Nov 1988,Handball,32,Female,1.68,5'6'',SAO PAULO,Brazil,LUBIN,Poland,Women,11,NA
MATKOVIC Dusan,Montenegro,1 Feb 1999,Water Polo,22,Male,NA,NA,KOTOR,Montenegro,KOTOR,Montenegro,Men,8,NA
MATLA Frederique,Netherlands,28 Dec 1996,Hockey,24,Female,NA,NA,,,'S-HERTOGENBOSCH,Netherlands,Women,1,Gold
MATNIYAZOVA Gulnoza,Uzbekistan,10 Aug 1994,Judo,26,Female,NA,NA,PICHOKCHI,Uzbekistan,,,Women -70 kg,9,NA
MATNIYAZOVA Gulnoza,Uzbekistan,10 Aug 1994,Judo,26,Female,NA,NA,PICHOKCHI,Uzbekistan,,,Mixed Team,9,NA
MATOUB Lamya,Algeria,18 Jan 1992,Karate,29,Female,NA,NA,PARIS,France,,,Women's Kumite +61kg,9,NA
MATSENJWA Sibusiso,Eswatini,2 May 1988,Athletics,33,Male,NA,NA,SITEKI,Eswatini,,,Men's 200m,,NA
MATSUBARA Rie,Japan,21 Oct 1993,Rhythmic Gymnastics,27,Female,1.67,5'5'',,,,,Group All-Around,8,NA
MATSUEDA Hiroki,Japan,20 May 1993,Athletics,28,Male,NA,NA,,,,,Men's 5000m,,NA
MATSUI Chihito,Japan,11 Nov 1994,Rugby Sevens,26,Male,1.82,5'11'',OSAKA,Japan,,,Men,11,NA
MATSUMOTO Katsuhiro,Japan,28 Feb 1997,Swimming,24,Male,1.86,6'1'',,Japan,,,Men's 200m Freestyle,,NA
MATSUMOTO Katsuhiro,Japan,28 Feb 1997,Swimming,24,Male,1.86,6'1'',,Japan,,,Men's 4 x 200m Freestyle Relay,,NA
MATSUMOTO Katsuhiro,Japan,28 Feb 1997,Swimming,24,Male,1.86,6'1'',,Japan,,,Mixed 4 x 100m Medley Relay,,NA
MATSUMOTO Mayu,Japan,7 Aug 1995,Badminton,26,Female,NA,NA,SAPPORO,Japan,,,Women's Doubles,5,NA
MATSUMOTO Natsuha,Japan,31 Jul 1995,Hockey,26,Female,NA,NA,MATSUBARA,Japan,,,Women,11,NA
MATSUMOTO Takayuki,Japan,10 Jan 1984,Shooting,37,Male,NA,NA,SHIMABARA,Japan,,,10m Air Rifle Men,37,NA
MATSUMOTO Takayuki,Japan,10 Jan 1984,Shooting,37,Male,NA,NA,SHIMABARA,Japan,,,50m Rifle 3 Positions Men,37,NA
MATSUMOTO Takayuki,Japan,10 Jan 1984,Shooting,37,Male,NA,NA,SHIMABARA,Japan,,,10m Air Rifle Mixed Team,26,NA
MATSUSHITA Momotaro,Japan,3 Mar 1988,Canoe Sprint,33,Male,NA,NA,,,,,Men's Kayak Single 200m,16,NA
MATSUSHITA Momotaro,Japan,3 Mar 1988,Canoe Sprint,33,Male,NA,NA,,,,,Men's Kayak Four 500m,11,NA
MATSUYAMA Hideki,Japan,25 Feb 1992,Golf,29,Male,1.81,5'11'',MATSUYAMA,Japan,,,Men's Individual Stroke Play,4,NA
MATSUYAMA Kyosuke,Japan,19 Dec 1996,Fencing,24,Male,NA,NA,TOKYO,Japan,TAITO,Japan,Men's Foil Individual,14,NA
MATSUYAMA Kyosuke,Japan,19 Dec 1996,Fencing,24,Male,NA,NA,TOKYO,Japan,TAITO,Japan,Men's Foil Team,4,NA
MATTEK-SANDS Bethanie,United States of America,23 Mar 1985,Tennis,36,Female,1.68,5'6'',"ROCHESTER, MN",United States of America,"PHOENIX, AZ",United States of America,Women's Doubles,5,NA
MATTEK-SANDS Bethanie,United States of America,23 Mar 1985,Tennis,36,Female,1.68,5'6'',"ROCHESTER, MN",United States of America,"PHOENIX, AZ",United States of America,Mixed Doubles,9,NA
MATTHEWS Alex,Great Britain,3 Aug 1993,Rugby Sevens,28,Female,1.73,5'8'',,,,,Women,4,NA
MATTHEWS Hannah,Ireland,24 Mar 1991,Hockey,30,Female,NA,NA,,,,,Women,10,NA
MATTIS Sam,United States of America,19 Mar 1994,Athletics,27,Male,NA,NA,,,"HIGHLAND PARK, NJ",United States of America,Men's Discus Throw,8,NA
MATTSSON Matti,Finland,5 Oct 1993,Swimming,27,Male,NA,NA,PORI,Finland,PORI,Finland,Men's 100m Breaststroke,,NA
MATTSSON Matti,Finland,5 Oct 1993,Swimming,27,Male,NA,NA,PORI,Finland,PORI,Finland,Men's 200m Breaststroke,3,Bronze
MATTSSON Sofia Magdalena,Sweden,11 Nov 1989,Wrestling,31,Female,1.61,5'3'',GALLIVARE,Sweden,HELSINGBORG,Sweden,Women's Freestyle 53kg,13,NA
MATUSEVICIUS Edis,Lithuania,30 Jun 1996,Athletics,25,Male,NA,NA,,,VILNIUS,Lithuania,Men's Javelin Throw,,NA
MATVEEV Nicholas,Canada,7 Aug 1997,Canoe Sprint,24,Male,1.85,6'0'',,,,,Men's Kayak Single 200m,14,NA
MATVEEV Nicholas,Canada,7 Aug 1997,Canoe Sprint,24,Male,1.85,6'0'',,,,,Men's Kayak Four 500m,10,NA
MATVEEVA Polina,ROC,8 Aug 2002,Volleyball,19,Female,1.94,6'4'',SAMARA,Russian Federation,SAMARA,Russian Federation,Women,7,NA
MATYAS Jordan,United States of America,2 Jul 1993,Rugby Sevens,28,Female,1.80,5'10'',"LAS VEGAS, NV",United States of America,,,Women,6,NA
MATZ Barbara,Austria,16 Jan 1998,Sailing,23,Female,1.65,5'4'',,,NEUSIEDL AM SEE,Austria,Mixed Multihull - Nacra 17 Foiling,11,NA
MATZERATH Lucas Joachim,Germany,3 May 2000,Swimming,21,Male,NA,NA,WEINHEIM,Germany,FRANKFURT AM MAIN,Germany,Men's 100m Breaststroke,,NA
MATZERATH Lucas Joachim,Germany,3 May 2000,Swimming,21,Male,NA,NA,WEINHEIM,Germany,FRANKFURT AM MAIN,Germany,Men's 4 x 100m Medley Relay,,NA
MATZNER Stefan,Austria,24 Apr 1993,Cycling Track,28,Male,1.84,6'0'',,,,,Men's Madison,DNF,NA
MAUDENS Hanne,Belgium,12 Mar 1997,Athletics,24,Female,NA,NA,,,,,Women's 4 x 400m Relay,,NA
MAURELLI Alessia,Italy,22 Aug 1996,Rhythmic Gymnastics,24,Female,1.70,5'6'',RIVOLI,Italy,DESIO,Italy,Group All-Around,3,Bronze
MAURUS Harrison James,United States of America,26 Feb 2000,Weightlifting,21,Male,1.73,5'8'',,,"SUWANEE, GA",United States of America,Men's 81kg,4,NA
MAVROMMATIS Nikolaos,Greece,19 Jul 1980,Shooting,41,Male,1.65,5'4'',ATHENS,Greece,ATHENS,Greece,Skeet Men,20,NA
MAWEM Bassa,France,9 Nov 1984,Sport Climbing,36,Male,1.84,6'0'',,,,,Men's Combined,DNS,NA
MAWEM Mickael,France,3 Aug 1990,Sport Climbing,31,Male,1.79,5'10'',,,,,Men's Combined,5,NA
MAWULI Evelyn,Japan,2 Jun 1995,Basketball,26,Female,1.81,5'11'',TOYOHASHI,Japan,,,Women,2,Silver
MAWULI Stephanie,Japan,25 Nov 1998,3x3 Basketball,22,Female,1.81,5'11'',TOYOHASHI,Japan,,,Women,5,NA
MAX-THEURER Victoria,Austria,24 Oct 1985,Equestrian,35,Female,NA,NA,LINZ,Austria,ACHLEITEN,Austria,Dressage Team,EL,NA
MAX-THEURER Victoria,Austria,24 Oct 1985,Equestrian,35,Female,NA,NA,LINZ,Austria,ACHLEITEN,Austria,Dressage Individual,",WD",NA
MAY Gareth,South Africa,9 Nov 1996,Water Polo,24,Male,NA,NA,,,,,Men,12,NA
MAYER Kevin,France,10 Feb 1992,Athletics,29,Male,NA,NA,ARGENTEUIL,France,MONTPELLIER,France,Men's Decathlon,2,Silver
MAYER Lisa,Germany,2 May 1996,Athletics,25,Female,NA,NA,GIESSEN,Germany,FRANKFURT AM MAIN,Germany,Women's 100m,,NA
MAYER Lisa,Germany,2 May 1996,Athletics,25,Female,NA,NA,GIESSEN,Germany,FRANKFURT AM MAIN,Germany,Women's 4 x 100m Relay,5,NA
MAYER Victoria,Argentina,19 Jun 2001,Volleyball,20,Female,1.78,5'10'',,,,,Women,11,NA
MAYMAN Mogamad Farouk,South Africa,3 May 1999,Water Polo,22,Male,NA,NA,,,CAPE TOWN,South Africa,Men,12,NA
MAYNARD-BREWER Ashley,Australia,25 Jun 1999,Football,22,Male,1.87,6'1'',,,,,Men,12,NA
MAYO Carlos,Spain,18 Sep 1995,Athletics,25,Male,NA,NA,MADRID,Spain,ZARAGOZA,Spain,"Men's 10,000m",13,NA
MAYORA PERNIA Julio Ruben,Venezuela,9 Feb 1996,Weightlifting,25,Male,1.65,5'4'',MAIQUETIA,Venezuela,CATIA LA MAR,Venezuela,Men's 73kg,2,Silver
MAYR Verena,Austria,1 Feb 1995,Athletics,26,Female,NA,NA,EBENSEE,Austria,LINZ,Austria,Women's Heptathlon,11,NA
MAZOUZ Sarah-Myriam,Gabon,29 Apr 1987,Judo,34,Female,NA,NA,FRANCEVILLE,Gabon,"MONTREAL, QC",Canada,Women -78 kg,17,NA
MAZUR Vladyslav,Ukraine,21 Nov 1996,Athletics,24,Male,NA,NA,,,BERDYCHIV,Ukraine,Men's Long Jump,,NA
MAZURONAK Volha,Belarus,14 Apr 1989,Athletics,32,Female,NA,NA,KARAGANDA,Kazakhstan,MINSK,Belarus,Women's Marathon,5,NA
MAZZARA Alessandro,Italy,5 May 2004,Skateboarding,17,Male,NA,NA,ERICE,Italy,ROME,Italy,Men's Park,12,NA
MAZZETTI Riccardo,Italy,2 May 1984,Shooting,37,Male,1.85,6'0'',BUSTO ARSIZIO,Italy,,,25m Rapid Fire Pistol Men,16,NA
MAZZILLI Agustin Alejandro,Argentina,20 Jun 1989,Hockey,32,Male,NA,NA,LANUS,Argentina,,,Men,7,NA
MAZZO Lucas,Brazil,19 May 1994,Athletics,27,Male,NA,NA,BELEM,Brazil,SAO CAETANO DO SUL,Brazil,Men's 20km Race Walk,DNF,NA
MBALLA ATANGANA Hortence Vanessa,Cameroon,5 Jan 1992,Judo,29,Female,NA,NA,BIKOK,Cameroon,CHATEAU-GONTIER,France,Women +78 kg,17,NA
MBANDE Phumelela Luphumlo,South Africa,8 Mar 1993,Hockey,28,Female,NA,NA,,,PRETORIA,South Africa,Women,12,NA
MBAREKI Selim,Tunisia,6 Mar 1996,Volleyball,25,Male,1.98,6'5'',,,,,Men,11,NA
MBAYA MULUMBA Fiston,Democratic Republic of the Congo,27 Jan 1996,Boxing,25,Male,NA,NA,,,,,Men's Light (57-63kg),17,NA
MBO NCHAMA Alba,Equatorial Guinea,13 Feb 2003,Athletics,18,Female,NA,NA,MALABO,Equatorial Guinea,MALABO,Equatorial Guinea,Women's 100m,,NA
MBOMA Christine,Namibia,22 May 2003,Athletics,18,Female,NA,NA,,,GROOTFONTEIN,Namibia,Women's 200m,2,Silver
MBOTTO Francky,Central African Republic,2 Sep 1997,Athletics,23,Male,NA,NA,BANGUI,Central African Republic,SAINT-BRIEUC,France,Men's 800m,,NA
MBUKU Nathanael,France,16 Mar 2002,Football,19,Male,1.70,5'6'',VILLENEUVE-SAINT-GEORGES,France,,,Men,13,NA
Mc CALLUM Grace,United States of America,30 Oct 2002,Artistic Gymnastics,18,Female,1.57,5'1'',,United States of America,"ISANTI, MN",United States of America,Women's All-Around,,NA
Mc CALLUM Grace,United States of America,30 Oct 2002,Artistic Gymnastics,18,Female,1.57,5'1'',,United States of America,"ISANTI, MN",United States of America,Women's Vault,,NA
Mc CALLUM Grace,United States of America,30 Oct 2002,Artistic Gymnastics,18,Female,1.57,5'1'',,United States of America,"ISANTI, MN",United States of America,Women's Uneven Bars,,NA
Mc CALLUM Grace,United States of America,30 Oct 2002,Artistic Gymnastics,18,Female,1.57,5'1'',,United States of America,"ISANTI, MN",United States of America,Women's Balance Beam,,NA
Mc CALLUM Grace,United States of America,30 Oct 2002,Artistic Gymnastics,18,Female,1.57,5'1'',,United States of America,"ISANTI, MN",United States of America,Women's Floor Exercise,,NA
Mc CALLUM Grace,United States of America,30 Oct 2002,Artistic Gymnastics,18,Female,1.57,5'1'',,United States of America,"ISANTI, MN",United States of America,Women's Team,2,Silver
Mc CARTHY Fintan,Ireland,23 Nov 1996,Rowing,24,Male,1.77,5'9'',,,SKIBBEREEN,Ireland,Lightweight Men's Double Sculls,1,Gold
Mc CLENAGHAN Rhys,Ireland,21 Jul 1999,Artistic Gymnastics,22,Male,1.71,5'7'',ANTRIM,Great Britain,NEWTOWNARDS,Great Britain,Men's Pommel Horse,7,NA
Mc CLENEY Haylie,United States of America,11 Jul 1994,Baseball/Softball,27,Female,1.63,5'4'',"BIRMINGHAM, AL",United States of America,"JUPITER, FL",United States of America,Softball,2,Silver
Mc GEEVER Finn,Ireland,20 Oct 2000,Swimming,20,Male,NA,NA,,,,,Men's 4 x 200m Freestyle Relay,,NA
Mc LAUGHLIN Kathryn,United States of America,9 Jul 1997,Swimming,24,Female,NA,NA,"DANA POINT, CA",United States of America,,,Women's 4 x 200m Freestyle Relay,2,Silver
Mc MILLAN Jack,Ireland,14 Jan 2000,Swimming,21,Male,NA,NA,,,BELFAST,Great Britain,Men's 4 x 200m Freestyle Relay,,NA
Mc SHARRY Mona,Ireland,21 Aug 2000,Swimming,20,Female,NA,NA,,,SLIGO,Ireland,Women's 100m Breaststroke,8,NA
Mc SHARRY Mona,Ireland,21 Aug 2000,Swimming,20,Female,NA,NA,,,SLIGO,Ireland,Women's 200m Breaststroke,,NA
McALEESE Shea,New Zealand,7 Aug 1984,Hockey,37,Male,NA,NA,"NAPIER",New Zealand,NEW ZEALAND,,Men,9,NA
McARTHUR Catherine,Australia,3 Aug 1992,Canoe Sprint,29,Female,1.74,5'8'',,,,,Women's Kayak Four 500m,7,NA
McBRIDE Brandon,Canada,15 Jun 1994,Athletics,27,Male,NA,NA,"WINDSOR, ON",Canada,"STARKVILLE, MS",United States of America,Men's 800m,,NA
McCABE Conlin,Canada,20 Aug 1990,Rowing,30,Male,2.03,6'7'',"BROCKVILLE, ON",Canada,"VICTORIA, BC",Canada,Men's Pair,4,NA
McCALLIN Shona,Great Britain,18 May 1992,Hockey,29,Female,1.64,5'4'',,,,,Women,3,Bronze
McCANN Ross,Great Britain,30 Oct 1997,Rugby Sevens,23,Male,1.80,5'10'',,,EDINBURGH,Great Britain,Men,4,NA
McCARTER Steffin,United States of America,19 Jan 1997,Athletics,24,Male,NA,NA,,,"AUSTIN, TX",United States of America,Men's Long Jump,,NA
McCOLGAN Eilish,Great Britain,25 Nov 1990,Athletics,30,Female,NA,NA,DUNDEE,Great Britain,,,Women's 5000m,,NA
McCOLGAN Eilish,Great Britain,25 Nov 1990,Athletics,30,Female,NA,NA,DUNDEE,Great Britain,,,"Women's 10,000m",9,NA
McCOLL Sean,Canada,3 Sep 1987,Sport Climbing,33,Male,1.69,5'6'',"NORTH VANCOUVER, BC",Canada,"VANCOUVER, BC",Canada,Men's Combined,17,NA
McCONNELL Daniel,Australia,9 Aug 1985,Cycling Mountain Bike,35,Male,1.80,5'10'',"MELBOURNE, VIC",Australia,"CANBERRA, ACT",Australia,Men's Cross-country,30,NA
McCONNELL Rebecca,Australia,27 Sep 1991,Cycling Mountain Bike,29,Female,1.58,5'2'',"CANBERRA, ACT",Australia,"CANBERRA, ACT",Australia,Women's Cross-country,28,NA
McCORMACK Fionnuala,Ireland,24 Sep 1984,Athletics,36,Female,NA,NA,WICKLOW,Ireland,WICKLOW,Ireland,Women's Marathon,25,NA
McCORMACK Luke,Great Britain,8 Jun 1995,Boxing,26,Male,1.78,5'10'',SUNDERLAND,Great Britain,,,Men's Light (57-63kg),9,NA
McCORMACK Pat,Great Britain,8 Jun 1995,Boxing,26,Male,1.78,5'10'',SUNDERLAND,Great Britain,,,Men's Welter (63-69kg),2,Silver
McCOWATT Callum,New Zealand,30 Apr 1999,Football,22,Male,1.79,5'10'',AUCKLAND,New Zealand,,,Men,6,NA
McCOY Rachel,United States of America,1 Aug 1995,Athletics,26,Female,NA,NA,,,,,Women's High Jump,,NA
McCULLOCH Kaarle,Australia,20 Jan 1988,Cycling Track,33,Female,1.68,5'6'',,,,,Women's Sprint,13,NA
McCULLOCH Kaarle,Australia,20 Jan 1988,Cycling Track,33,Female,1.68,5'6'',,,,,Women's Keirin,9,NA
McCULLOUGH Conor,United States of America,31 Jan 1991,Athletics,30,Male,NA,NA,"WOODLAND HILLS, CA",United States of America,"LOS ANGELES, CA",United States of America,Men's Hammer Throw,,NA
McCURLEY Shannon,Ireland,26 Apr 1992,Cycling Track,29,Female,NA,NA,"TRARALGON, VIC",Australia,,,Women's Omnium,,NA
McCURLEY Shannon,Ireland,26 Apr 1992,Cycling Track,29,Female,NA,NA,"TRARALGON, VIC",Australia,,,Women's Madison,DNF,NA
McDERMOTT Nicola,Australia,28 Dec 1996,Athletics,24,Female,NA,NA,"GOSFORD, NSW",Australia,"TASCOTT, NSW",Australia,Women's High Jump,2,Silver
McDONALD Morgan,Australia,23 Apr 1996,Athletics,25,Male,NA,NA,,,"BOULDER, CO",United States of America,Men's 5000m,,NA
McDONALD Natassha,Canada,27 Jan 1997,Athletics,24,Female,NA,NA,"MISSISSAUGA, ON",Canada,"TUSCALOOSA, AL",United States of America,Women's 400m,,NA
McDONALD Natassha,Canada,27 Jan 1997,Athletics,24,Female,NA,NA,"MISSISSAUGA, ON",Canada,"TUSCALOOSA, AL",United States of America,Women's 4 x 400m Relay,4,NA
McDONALD Rusheen,Jamaica,17 Aug 1992,Athletics,28,Male,NA,NA,MANDEVILLE,Jamaica,JAMAICA,,4 x 400m Relay Mixed,7,NA
McDONNELL Robert,Ireland,21 May 2002,Athletics,19,Male,NA,NA,,,,,4 x 400m Relay Mixed,,NA
McDOWALD Curtis,United States of America,23 Jan 1996,Fencing,25,Male,NA,NA,"NEW YORK, NY",United States of America,"NEW YORK, NY",United States of America,Men's Épée Individual,24,NA
McDOWALD Curtis,United States of America,23 Jan 1996,Fencing,25,Male,NA,NA,"NEW YORK, NY",United States of America,"NEW YORK, NY",United States of America,Men's Épée Team,9,NA
